Id, Artist, Type, Text
1, 南紅 (F/女), 0, 飲茶 吖 ！
2, 陳列品 (F/女), 0, 唔該 ！
3, 陳列品 (F/女), 0, 張 老爺 ！ 唔 係 話 我 發 唔 發話 嘞 ！ 呢 班 女仔 呀 ， 個個 …… 相貌 又 好 ， 才學 又 夠 ， 家世 又 唔 錯 ！
4, 陳列品 (F/女), 0, 真係 任 你 阿老爺 ， 合 埋 雙眼 ， 是但 揀 一 個 嚟 做 你 嘅 新抱 ， 都 唔慌 會 撞板 㗎嘞 ！
5, 劉桂康 (M/男), 0, 係係 …… 最 怕 花多眼亂 呢 ， 千揀萬揀 會 揀 到 個 爛燈盞 ！ 呢 鋌 嘢 嘅 嘢 ， 我 睇 都 係 等 我 個 仔 阿超 自己 揀 好 嘞 ！
6, 劉桂康 (M/男), 0, 你 知 嘛 ？ 要 啱 心水 㗎 ， 後生仔 ！ 你 係 冇 ？
7, 不明 (X/不明), 0, 少爺 早晨 ！
8, 南紅 (F/女), 0, 少爺 出街 嗱 ？
9, 鄺山笑 (M/男), 0, 係 呀 ！ 咦 ！ 乜 阿三姑 嗰 單 嘢 又 嚟 咗 呀 ？
10, 南紅 (F/女), 0, 嗯 ！
11, 鄺山笑 (M/男), 0, 哼 ！ 真係 吖 ！
12, 劉桂康 (M/男), 0, 你哋 唔 係 細路哥玩泥沙 ， 係咪 呢 ？
13, 鄺山笑 (M/男), 0, 爸爸 ， 早晨 ！
14, 劉桂康 (M/男), 0, 早晨 ！ 阿超 ！
15, 陳列品 (F/女), 0, 早晨 ！ 大少 ！
16, 劉桂康 (M/男), 0, 阿超 呀 ？
17, 鄺山笑 (M/男), 0, 吓 ？
18, 劉桂康 (M/男), 0, 你 揀 下 嘞 ！ 呢 件 嘢 係 你 終身大事 ！ 揀 清楚 ！ 唔 緊要 ！
19, 鄺山笑 (M/男), 0, 乜 又有 一 沓 呀 ？
20, 陳列品 (F/女), 0, 大少 ， 今次 怕 九成九 合 你 心水 嘞啩 ？ 呢 啲 相 呀 ， 我 喺 百 幾 個 靚 女仔 中 ， 揀 出嚟 㗎 ！
21, 劉桂康 (M/男), 0, 係 呀 ！
22, 鄺山笑 (M/男), 0, 揀 出嚟 㗎 ？
23, 劉桂康 (M/男), 0, 係 囉 係 囉 ！
24, 鄺山笑 (M/男), 0, 噉 重有 個 唔係 籮底橙 咩 ？
25, 劉桂康 (M/男), 0, 吓 ？
26, 陳列品 (F/女), 0, 唏 ！ 乜 籮底橙 呀 咁 好聽 呀 ？ 大少 ！ 你 睇真 下 吖 ！ 呢 啲 係 標青 嘅 貨色 嚟㗎 ！
27, 鄺山笑 (M/男), 0, 標青 嘅 貨色 ？
28, 陳列品 (F/女), 0, 你 都 幾 夠 眼光 ！
29, 鄺山笑 (M/男), 0, 夠 眼光 咩 ？ 唔 啱 呀 ！
30, 劉桂康 (M/男), 0, 阿超 呀 ？ 阿超 ！ 阿超 呀 ？
31, 鄺山笑 (M/男), 0, 咩 呀 ， 老豆 ！
32, 劉桂康 (M/男), 0, 你 知道 嘛 ？ 我哋 三 代 單傳 就 獨 得 你 呢 一 粒 仔 喇 ！
33, 鄺山笑 (M/男), 0, 係 ～
34, 劉桂康 (M/男), 0, 我 就 伸長 條 頸 就 想 望 你 早日 成家立室 ， 開枝散葉 喎 ， 你 點解 懶懶閒 噉 呢 ？
35, 劉桂康 (M/男), 0, 勻勻 你 又 咩 咪 對 三姑 講明講白 喇 ！ 吓 ？ 三姑 就 包 你 滿意 啩 ， 我 睇 ？
36, 鄺山笑 (M/男), 0, 你 睇 下 ！ 呢 個 你 都 唔 夠 佢 肥 ！
