Id, Artist, Type, Text
1, 余美華 (F/女), 0, 玉玲 ！
2, 江雪 (F/女), 0, 細姐 ！
3, 余美華 (F/女), 0, 今日 啱 何 律師 嚟 ！ 搞 你 爸爸 遺囑 嘅 事 ， 所以 唔 得閒 去 接 你 飛機 。
4, 江雪 (F/女), 0, 唔 緊要 ！ 係 呢 ， 爸爸 點解 突然間 會 ……
5, 余美華 (F/女), 0, 呢 啲 嘢 唔 好 講 住 嘞 ， 慢慢 至 傾 喇 ！
6, 余美華 (F/女), 0, 阿和 ！
7, 余美華 (F/女), 0, 啞妹 呀 ， 同 小姐 拎 啲 行李 上 房 ！
8, 余美華 (F/女), 0, 嚟 吖 ！
9, 余美華 (F/女), 0, 我 嚟 同 你哋 介紹 ！ 呢 個 係 我 個 女 ， 阿玉玲 ！ 呢 位 就係 同 你 爸爸 辦理 遺產 嘅 何 律師 嘞 ！
10, 李亨 (M/男), 0, 張 小姐 ！
11, 江雪 (F/女), 0, 何 律師 ！
12, 謝賢 (M/男), 0, 張 小姐 ！
13, 余美華 (F/女), 0, 玉玲 ！ 呢 個 我 表弟 ， 胡惠民 醫生 ， 你 爸爸 嘅 病 一直 都 係 佢 打理 㗎 ！
14, 李亨 (M/男), 0, 張 小姐 ， 令尊 嘅 死亡證 ， 都 係 ， 呢 位 胡 醫生 簽 嘅 ！
15, 江雪 (F/女), 0, 哦 ！
16, 江雪 (F/女), 0, 爸爸 ！
17, 李亨 (M/男), 0, 張 小姐 ！ 由於 令尊 死 得 倉猝 ， 關於 處理 佢 遺囑 嘅 事 ， 而家 有 啲 困難 ， 誒 ～ 我 而家 想 知道 下 ， 究竟 你 爸 臨死 之前 ， 响 佢 來往 信件 ， 或者 口頭 上 ， 對 你 有 咩 特別 吩咐 冇 呢 ？
18, 江雪 (F/女), 0, 特別 吩咐 ？ 冇 呃 ？
19, 江雪 (F/女), 0, 係 呢 ， 胡 醫生 ， 我 爸爸 究竟 咩 病 死 㗎 ？
20, 謝賢 (M/男), 0, 你 爸爸 係 心臟病 死 嘅 ！
21, 江雪 (F/女), 0, 心臟病 ？ 點解 我 從來 未 聽 佢 提 起 過 嘅呢 ？
22, 謝賢 (M/男), 0, 呵 ， 因為 心臟病 呢 個 症 ， 如果 唔 發作 起 上嚟 ， 同 平常人 一樣 㗎咋 。
23, 謝賢 (M/男), 0, 但係 ， 如果 突然間 惡化 嘅 時候 呢 ， 就 幾乎 百分之百 冇 得 救 㗎嘞 ！
24, 余美華 (F/女), 0, 玉玲 ， 你 先 話 返 嚟 唔 好 講 呢 啲 嘢 住 嘞 ！ 不如 上樓 沖 個 涼 ， 休息 下 罷喇 ！
25, 余美華 (F/女), 0, 我 同 你 去 喇 ！
26, 余美華 (F/女), 0, 我 執 返 好 舊時 間 房 畀 你 嘞 ！ 入 嚟 吖 ！
27, 女 (F/女), 0, 大小姐 ！ 使 唔 使 我哋 幫 你 執 行李 呀 ？
28, 江雪 (F/女), 0, 唔 使 嘞 ！
29, 余美華 (F/女), 0, 噉 你哋 返 出去 先 喇 ！
30, 女 (F/女), 0, 哦 ！
31, 余美華 (F/女), 0, 估 唔 到 你 爸爸 至 話 殘廢 啫 ， 就要 死 喺 輪椅 道 。
32, 江雪 (F/女), 0, 細姐 呀 ， 爸爸 葬 喺 邊處 呀 ？
33, 余美華 (F/女), 0, 哦 ～ 就 葬 喺 郊外 永遠 墳場 咋嘛 ！ 咩 事 呀 ？
34, 江雪 (F/女), 0, 我 想 而家 去 睇 下 佢 。
35, 余美華 (F/女), 0, 傻女 ！ 正話 搭 完 飛機 返 嚟 咁 攰 ， 第日 至 去 喇 ！
36, 余美華 (F/女), 0, 沖 個 涼 休息 下 罷喇 ！ 嗯 ？ 你 抖 吓嘞 ， 我 落 去 先 ！
37, 余美華 (F/女), 0, 一陣 食 得 飯 我 上 嚟 叫 你 ， 吓 ！
38, 江雪 (F/女), 0, 爸爸 舊年 去 曼谷 做 生意 ， 佢 經過 星加坡 ， 曾經 嚟 學校 探 過 我 ， 佢 重 叫 我 今年 放 暑假 返 嚟 香港 行 下 ！
39, 江雪 (F/女), 0, 點 知 都 未 到 暑假 ， 佢 就 ……
40, 謝賢 (M/男), 0, 張 小姐 ， 無謂 咁 傷心 嘞 ！ 世界 上 嘅 事 ， 往往 都 係 好 難 預料 嘅 ……
41, 江雪 (F/女), 0, 係 呢 ， 胡 醫生 ， 當晚 嘅 情形 ， 實在 係 點樣 㗎 ？
42, 謝賢 (M/男), 0, 呢 件 事 我 都 覺得 好 突然 ， 嗰 晚 ， 大約 係 半夜 三 點鐘 倒 ， 你 細姐 打 過 電話 畀 我 ， 佢 話 你 爸爸 有 事 ， 叫 我 即刻 嚟 ！
43, 謝賢 (M/男), 0, 但係 ， 當 我 嚟 到 嘅 時候 ， 你 爸爸 已經 唔 得 ， 收尾 ， 我 連 醫院 都 趕 唔 切 送 佢 去 ， 佢 就 死 咗 嘞 ！
44, 江雪 (F/女), 0, 係 呢 ， 細姐 ， 爸爸 臨死 嘅 時候 ， 有 咩 吩咐 落 呀 ？
45, 余美華 (F/女), 0, 冇 ！ 因為 佢 起事 到 死 ， 都 不過 係 個零 鐘頭 嘅 事 ， 我 都 想 問 下 你 ， 你 爸爸 尚未 死 之前 ， 有 咩 特別 事 吩咐 你 做 而 你 未 做 㗎 ？
46, 江雪 (F/女), 0, 特別 事 吩咐 我 ？
47, 江雪 (F/女), 0, 冇 呃 ！
48, 余美華 (F/女), 0, 真係 冇 ？
49, 余美華 (F/女), 0, 哈 ！ 噉 就 奇 嘞 ！
50, 江雪 (F/女), 0, 咩 事 呀 ？
51, 余美華 (F/女), 0, 不過 我 話 畀 你 聽 你 唔 使 驚 㗎 ！ 你 爸爸 死 咗 之後 ， 好似 有 啲 冤魂不息 ！
52, 余美華 (F/女), 0, 我 覺得 佢 呢 次 喺 曼谷 返 嚟 ， 成日 都 精神 恍惚 ， 好似 有 好 多 心事 噉 ， 但 我 問 佢 有 咩 事 ， 佢 又 唔 肯 講 ， 收尾 到 佢 死 嗰陣 ， 佢 好似 有 好 多 嘢 想 講 ， 但 佢 又 講 唔 出 ， 最 奇怪 嘅 ， 就係 佢 死 咗 之後 ……
53, 江雪 (F/女), 0, 點 呀 ？
54, 余美華 (F/女), 0, 呢 間 屋 晚晚 都 好似 有 人 行 嚟 行 去 ， 四圍 噉 搵 你 。
55, 余美華 (F/女), 0, 呢 ！ 嗰 個 花園 道 門 呀 ， 就 時 佢 自己 都 會 打開 㗎 ！
56, 余美華 (F/女), 0, 嗰 便 嗰 個 火爐 裡面 啲 火 ， 隨時 都 會 自己 着 㗎 ！
57, 余美華 (F/女), 0, 佢 自己 靈位 嗰 啲 蠟蠋 ， 成日 都 忽然 間 又 着 ， 忽然 間 又 熄 。
58, 余美華 (F/女), 0, 呢呢呢 ， 呢 張 輪椅 呀 ， 我 時時 都 聽 到 佢 自己 好似 會 行 噉 㗎 ！
59, 余美華 (F/女), 0, 總之 你 爸爸 好似 生前 有 件 好 緊要 嘅 事 未 做 ， 而家 死心不息 ， 成日 都 返 嚟 噉 嘅 ……
60, 余美華 (F/女), 0, 玉玲 ， 你 真係 細心 諗 下 ， 睇 下 你 爸爸 未 死 之前 ， 有 咩 吩咐 過 你 ， 或者 暗示 過 你 做 嘅 有冇 吖 ？
61, 江雪 (F/女), 0, 冇 呃 ！ 真係 冇 呀 ！
62, 謝賢 (M/男), 0, 表姐 ， 我 話 呢 啲 都 係 你 疑心生暗鬼 嘅啫 ！ 其實 呢 個 世界 上 ， 邊 有 啲 噉 嘅 嘢 嘅啫 ？
63, 余美華 (F/女), 0, 唏 ！ 你 唔 係 喺 道 住 未 見 過 梗係 唔 信 喇 ！ 呢 ！ 玉玲 而家 返 咗 嚟 ， 今晚 半夜 佢 就 知 嘞 ！
64, 江雪 (F/女), 0, 吖 ！
65, 江雪 (F/女), 0, 邊個 呀 ？ 你 係 邊個 呀 ？
66, 男 (M/男), 0, 哦 ！ 原來 係 大小姐 ！
